generated_on,display_name,load_month,dlvd_price
2021-09-20 00:11:20.045,RBOB,Oct.21,-11.45
2021-09-20 00:11:20.045,RBOB,Nov.21,-12.45
2021-09-20 00:11:20.045,RBOB,Dec.21,-14.75
2021-09-20 00:11:20.045,RBOB,Jan.22,-17.2
2021-09-20 00:11:20.045,RBOB,Feb.22,-29.55
2021-09-20 00:11:20.045,RBOB,Sep.21,-8.7
2021-09-20 00:26:20.045,RBOB,Oct.21,-11.5
2021-09-20 00:26:20.045,RBOB,Nov.21,-12.45
2021-09-20 00:26:20.045,RBOB,Dec.21,-14.75
2021-09-20 00:26:20.045,RBOB,Jan.22,-17.15
2021-09-20 00:26:20.045,RBOB,Feb.22,-29.5
2021-09-20 00:26:20.045,RBOB,Sep.21,-8.5
2021-09-20 00:41:20.045,RBOB,Oct.21,-11.5
2021-09-20 00:41:20.045,RBOB,Nov.21,-12.45
2021-09-20 00:41:20.045,RBOB,Jan.22,-17.15
2021-09-20 00:56:20.045,RBOB,Oct.21,-11.5
2021-09-20 00:56:20.045,RBOB,Nov.21,-12.45
2021-09-20 00:56:20.045,RBOB,Dec.21,-14.8
2021-09-20 00:56:20.045,RBOB,Jan.22,-17.15
2021-09-20 00:56:20.045,RBOB,Feb.22,-29.55
2021-09-20 00:56:20.045,RBOB,Sep.21,-8.55
2021-09-20 01:11:20.045,RBOB,Oct.21,-11.5
2021-09-20 01:11:20.045,RBOB,Nov.21,-12.45
2021-09-20 01:11:20.045,RBOB,Dec.21,-14.8
2021-09-20 01:11:20.045,RBOB,Jan.22,-17.2
2021-09-20 01:11:20.045,RBOB,Feb.22,-29.55
2021-09-20 01:11:20.045,RBOB,Sep.21,-8.5
2021-09-20 01:26:20.045,RBOB,Oct.21,-11.5
2021-09-20 01:26:20.045,RBOB,Nov.21,-12.45
2021-09-20 01:26:20.045,RBOB,Dec.21,-14.75
2021-09-20 01:26:20.045,RBOB,Jan.22,-17.2
2021-09-20 01:26:20.045,RBOB,Feb.22,-29.55
2021-09-20 01:26:20.045,RBOB,Sep.21,-8.55
2021-09-20 01:41:20.045,RBOB,Oct.21,-11.5
2021-09-20 01:41:20.045,RBOB,Nov.21,-12.45
2021-09-20 01:41:20.045,RBOB,Dec.21,-14.75
2021-09-20 01:41:20.045,RBOB,Jan.22,-17.15
2021-09-20 01:41:20.045,RBOB,Feb.22,-29.5
2021-09-20 01:41:20.045,RBOB,Sep.21,-8.5
2021-09-20 01:56:20.045,RBOB,Oct.21,-11.45
2021-09-20 01:56:20.045,RBOB,Nov.21,-12.4
2021-09-20 01:56:20.045,RBOB,Dec.21,-14.75
2021-09-20 01:56:20.045,RBOB,Jan.22,-17.1
2021-09-20 01:56:20.045,RBOB,Feb.22,-29.5
2021-09-20 01:56:20.045,RBOB,Sep.21,-8.5
2021-09-20 02:11:20.045,RBOB,Oct.21,-11.4
2021-09-20 02:11:20.045,RBOB,Nov.21,-12.35
2021-09-20 02:11:20.045,RBOB,Dec.21,-14.7
2021-09-20 02:11:20.045,RBOB,Jan.22,-17.05
2021-09-20 02:11:20.045,RBOB,Feb.22,-29.4
2021-09-20 02:11:20.045,RBOB,Sep.21,-8.45
2021-09-20 02:26:20.052,RBOB,Oct.21,-11.35
2021-09-20 02:26:20.052,RBOB,Nov.21,-12.35
2021-09-20 02:26:20.052,RBOB,Dec.21,-14.65
2021-09-20 02:26:20.052,RBOB,Jan.22,-17.05
2021-09-20 02:26:20.052,RBOB,Feb.22,-29.45
2021-09-20 02:26:20.052,RBOB,Sep.21,-8.35
2021-09-20 02:41:20.045,RBOB,Oct.21,-11.4
2021-09-20 02:41:20.045,RBOB,Nov.21,-12.4
2021-09-20 02:41:20.045,RBOB,Dec.21,-14.7
2021-09-20 02:41:20.045,RBOB,Jan.22,-17.1
2021-09-20 02:41:20.045,RBOB,Feb.22,-29.5
2021-09-20 02:41:20.045,RBOB,Sep.21,-8.4
2021-09-20 02:56:20.045,RBOB,Oct.21,-11.4
2021-09-20 02:56:20.045,RBOB,Nov.21,-12.35
2021-09-20 02:56:20.045,RBOB,Dec.21,-14.65
2021-09-20 02:56:20.045,RBOB,Jan.22,-17.05
2021-09-20 02:56:20.045,RBOB,Feb.22,-29.45
2021-09-20 02:56:20.045,RBOB,Sep.21,-8.4
2021-09-20 03:11:20.045,RBOB,Oct.21,-11.45
2021-09-20 03:11:20.045,RBOB,Nov.21,-12.45
2021-09-20 03:11:20.045,RBOB,Dec.21,-14.85
2021-09-20 03:11:20.045,RBOB,Jan.22,-17.3
2021-09-20 03:11:20.045,RBOB,Feb.22,-29.45
2021-09-20 03:11:20.045,RBOB,Sep.21,-8.45
2021-09-20 03:26:20.045,RBOB,Oct.21,-11.45
2021-09-20 03:26:20.045,RBOB,Nov.21,-12.5
2021-09-20 03:26:20.045,RBOB,Dec.21,-14.85
2021-09-20 03:26:20.045,RBOB,Jan.22,-17.3
2021-09-20 03:26:20.045,RBOB,Feb.22,-29.65
2021-09-20 03:26:20.045,RBOB,Sep.21,-8.5
2021-09-20 03:41:20.045,RBOB,Oct.21,-11.55
2021-09-20 03:41:20.045,RBOB,Nov.21,-12.55
2021-09-20 03:41:20.045,RBOB,Dec.21,-14.9
2021-09-20 03:41:20.045,RBOB,Jan.22,-17.3
2021-09-20 03:41:20.045,RBOB,Feb.22,-29.7
2021-09-20 03:41:20.045,RBOB,Sep.21,-8.6
2021-09-20 03:56:20.045,RBOB,Oct.21,-11.5
2021-09-20 03:56:20.045,RBOB,Nov.21,-12.55
2021-09-20 03:56:20.045,RBOB,Dec.21,-14.9
2021-09-20 03:56:20.045,RBOB,Jan.22,-17.25
2021-09-20 03:56:20.045,RBOB,Feb.22,-29.7
2021-09-20 03:56:20.045,RBOB,Sep.21,-8.55
2021-09-20 04:11:20.045,RBOB,Oct.21,-11.55
2021-09-20 04:11:20.045,RBOB,Nov.21,-12.55
2021-09-20 04:11:20.045,RBOB,Dec.21,-14.9
2021-09-20 04:11:20.045,RBOB,Jan.22,-17.3
2021-09-20 04:11:20.045,RBOB,Feb.22,-29.65
2021-09-20 04:11:20.045,RBOB,Sep.21,-8.55
2021-09-20 04:26:20.051,RBOB,Oct.21,-11.55
2021-09-20 04:26:20.051,RBOB,Nov.21,-12.55
2021-09-20 04:26:20.051,RBOB,Dec.21,-14.9
2021-09-20 04:26:20.051,RBOB,Jan.22,-17.3
2021-09-20 04:26:20.051,RBOB,Feb.22,-29.65
2021-09-20 04:26:20.051,RBOB,Sep.21,-8.6
2021-09-20 04:41:20.045,RBOB,Oct.21,-11.45
2021-09-20 04:41:20.045,RBOB,Nov.21,-12.45
2021-09-20 04:41:20.045,RBOB,Dec.21,-14.8
2021-09-20 04:41:20.045,RBOB,Jan.22,-17.2
2021-09-20 04:41:20.045,RBOB,Feb.22,-29.55
